127.0.0.1, 2011-06-26 16:14:11, GET, /codeAct/static/ca_index.html, HTTP/1.1, 304, 0.002042
127.0.0.1, 2011-06-26 16:14:13, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.597950
127.0.0.1, 2011-06-26 16:14:14, GET, /favicon.ico, HTTP/1.1, 400, 0.001081
127.0.0.1, 2011-06-26 16:14:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000582
127.0.0.1, 2011-06-26 16:14:16, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.031050
127.0.0.1, 2011-06-26 16:16:43, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.066145
127.0.0.1, 2011-06-26 17:05:57, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.104759
127.0.0.1, 2011-06-26 17:06:14, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.021923
127.0.0.1, 2011-06-26 17:06:21, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020712
127.0.0.1, 2011-06-26 17:06:29, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.018773
127.0.0.1, 2011-06-26 17:06:38, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016019
127.0.0.1, 2011-06-26 17:06:38, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.019686
127.0.0.1, 2011-06-26 17:06:40, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014919
127.0.0.1, 2011-06-26 17:06:41, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016683
127.0.0.1, 2011-06-26 17:06:42, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016058
127.0.0.1, 2011-06-26 17:06:42, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020921
127.0.0.1, 2011-06-26 17:06:43, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020058
127.0.0.1, 2011-06-26 17:06:44, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020640
127.0.0.1, 2011-06-26 17:06:44, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015254
127.0.0.1, 2011-06-26 17:06:45, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022225
127.0.0.1, 2011-06-26 17:06:46, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015085
127.0.0.1, 2011-06-26 17:06:47, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.021101
127.0.0.1, 2011-06-26 17:06:49, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.019444
127.0.0.1, 2011-06-26 17:06:49, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013765
127.0.0.1, 2011-06-26 17:06:50, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016104
127.0.0.1, 2011-06-26 17:06:50, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014544
127.0.0.1, 2011-06-26 17:07:04, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015993
127.0.0.1, 2011-06-26 17:07:06, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015826
127.0.0.1, 2011-06-26 17:07:08, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015463
127.0.0.1, 2011-06-26 17:07:29, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015864
127.0.0.1, 2011-06-26 17:07:30, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013917
127.0.0.1, 2011-06-26 17:07:30, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013225
127.0.0.1, 2011-06-26 17:07:31, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015883
127.0.0.1, 2011-06-26 17:07:31, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014473
127.0.0.1, 2011-06-26 17:07:32, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014761
127.0.0.1, 2011-06-26 17:07:32, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013249
127.0.0.1, 2011-06-26 17:07:33, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013639
127.0.0.1, 2011-06-26 17:07:33, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013342
127.0.0.1, 2011-06-26 17:07:33, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013362
127.0.0.1, 2011-06-26 17:07:33, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.012170
127.0.0.1, 2011-06-26 17:07:34, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014768
127.0.0.1, 2011-06-26 17:07:34, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013373
127.0.0.1, 2011-06-26 17:07:34, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013518
127.0.0.1, 2011-06-26 17:07:34, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014205
127.0.0.1, 2011-06-26 17:07:35, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.011613
127.0.0.1, 2011-06-26 17:07:35, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013221
127.0.0.1, 2011-06-26 17:07:35, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013677
127.0.0.1, 2011-06-26 17:07:56, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.021791
127.0.0.1, 2011-06-26 17:08:14, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.053095
127.0.0.1, 2011-06-26 17:08:18, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014932
127.0.0.1, 2011-06-26 17:08:19, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.021283
127.0.0.1, 2011-06-26 17:08:20, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.021406
127.0.0.1, 2011-06-26 17:08:22, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.021178
127.0.0.1, 2011-06-26 17:08:22, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015364
127.0.0.1, 2011-06-26 17:08:23, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015404
127.0.0.1, 2011-06-26 17:08:26, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015096
127.0.0.1, 2011-06-26 17:08:27, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015213
127.0.0.1, 2011-06-26 17:08:28, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022590
127.0.0.1, 2011-06-26 17:08:30, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022782
127.0.0.1, 2011-06-26 17:08:31, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022251
127.0.0.1, 2011-06-26 17:08:32, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.023916
127.0.0.1, 2011-06-26 17:08:33, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020881
127.0.0.1, 2011-06-26 17:08:35, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.021255
127.0.0.1, 2011-06-26 17:08:36, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015881
127.0.0.1, 2011-06-26 17:08:38, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016245
127.0.0.1, 2011-06-26 17:08:39, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015918
127.0.0.1, 2011-06-26 17:08:40, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.021236
127.0.0.1, 2011-06-26 17:08:41, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015117
127.0.0.1, 2011-06-26 17:08:41, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015058
127.0.0.1, 2011-06-26 17:08:42, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016044
127.0.0.1, 2011-06-26 17:08:43, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015965
127.0.0.1, 2011-06-26 17:09:57, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.054526
127.0.0.1, 2011-06-26 17:09:58, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014308
127.0.0.1, 2011-06-26 17:09:59, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016423
127.0.0.1, 2011-06-26 17:10:00, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022956
127.0.0.1, 2011-06-26 17:10:00, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015278
127.0.0.1, 2011-06-26 17:10:01, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013448
127.0.0.1, 2011-06-26 17:10:01, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015444
127.0.0.1, 2011-06-26 17:10:02, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020651
127.0.0.1, 2011-06-26 17:10:06, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013502
127.0.0.1, 2011-06-26 17:10:06, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013952
127.0.0.1, 2011-06-26 17:10:06, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.012603
127.0.0.1, 2011-06-26 17:10:07, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015156
127.0.0.1, 2011-06-26 17:10:07, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.013537
127.0.0.1, 2011-06-26 17:10:07, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.012115
127.0.0.1, 2011-06-26 17:10:07, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.012046
127.0.0.1, 2011-06-26 17:10:08, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015086
127.0.0.1, 2011-06-26 17:10:08, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.012226
127.0.0.1, 2011-06-26 17:10:27, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022427
127.0.0.1, 2011-06-26 17:10:42, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 500, 0.276626
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/default/ticket/codeAct/127.0.0.1.2011-06-26.17-10-42.3e6fac16-b318-4164-a86b-785ea1c3ad22, HTTP/1.1, 303, 0.089519
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/default/index, HTTP/1.1, 200, 0.055132
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.004124
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.002021
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.003218
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.005762
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.008218
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.003035
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.005077
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.012337
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.002054
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.001953
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.001939
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.001660
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.002707
127.0.0.1, 2011-06-26 17:10:43, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 304, 0.002185
127.0.0.1, 2011-06-26 17:10:48, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.017372
127.0.0.1, 2011-06-26 17:11:02, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.064525
127.0.0.1, 2011-06-26 17:11:06, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015999
127.0.0.1, 2011-06-26 17:11:07, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015545
127.0.0.1, 2011-06-26 17:11:07, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.018630
127.0.0.1, 2011-06-26 17:11:08, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022393
127.0.0.1, 2011-06-26 17:11:09, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022861
127.0.0.1, 2011-06-26 17:11:10, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016571
127.0.0.1, 2011-06-26 17:11:11, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.019314
127.0.0.1, 2011-06-26 17:11:11, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020641
127.0.0.1, 2011-06-26 17:11:11, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020874
127.0.0.1, 2011-06-26 17:11:11, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014860
127.0.0.1, 2011-06-26 17:11:13, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015467
127.0.0.1, 2011-06-26 17:11:14, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016581
127.0.0.1, 2011-06-26 17:11:15, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022911
127.0.0.1, 2011-06-26 17:11:16, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022293
127.0.0.1, 2011-06-26 17:11:17, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.016607
127.0.0.1, 2011-06-26 17:12:33, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.025578
127.0.0.1, 2011-06-26 17:12:34, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022586
127.0.0.1, 2011-06-26 17:12:34, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015276
127.0.0.1, 2011-06-26 17:12:35, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022312
127.0.0.1, 2011-06-26 17:12:35, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.014520
127.0.0.1, 2011-06-26 17:12:44, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.015477
127.0.0.1, 2011-06-26 17:12:46, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020818
127.0.0.1, 2011-06-26 17:12:51, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.021573
127.0.0.1, 2011-06-26 17:12:53, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022842
127.0.0.1, 2011-06-26 17:12:55, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.022090
127.0.0.1, 2011-06-26 17:14:40, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.059426
127.0.0.1, 2011-06-26 17:14:54, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.020510
127.0.0.1, 2011-06-26 17:15:11, GET, /codeAct/ca_controller/quiz.html, HTTP/1.1, 200, 0.038749
